order_week,product_category_name_english,avg_price,units,revenue
2018-09-10,agro_industry_and_commerce,190.3938888888889,5.3707376,1022.5556088492607
2018-09-10,air_conditioning,187.45958333333334,4.915924,921.5370782852174
2018-09-10,art,90.10166666666666,1.0682212,96.24851151883601
2018-09-10,arts_and_craftmanship,79.02419642857143,4.1407084,327.21615762987307
2018-09-10,audio,98.51708333333332,9.596868,945.4554012795288
2018-09-10,auto,120.09665233501842,58.977253,7082.9706444361855
2018-09-10,baby,97.91565425459956,37.162903,3638.8299447984505
2018-09-10,bed_bath_table,92.69026163363507,109.02915,10105.940616834092
2018-09-10,books_general_interest,45.10036213786215,7.344657,331.2466879651621
2018-09-10,books_imported,217.2525,0.9827432,213.50341784879566
2018-09-10,books_technical,49.56099431818183,6.570804,325.6555856131018
2018-09-10,cds_dvds_musicals,65.0,0.9856606,64.06793981790543
2018-09-10,christmas_supplies,63.98675,4.699363,300.6969802633524
2018-09-10,cine_photo,58.63354166666667,3.7375283,219.14452272305888
2018-09-10,computers,841.8125,5.594366,4709.40729033947
2018-09-10,computers_accessories,92.6932744216227,65.61446,6082.01949961131
2018-09-10,consoles_games,102.39000892857143,15.682482,1605.7294480170012
2018-09-10,construction_tools_construction,140.12401357136838,34.555298,4842.0270251150205
2018-09-10,construction_tools_lights,137.5767781986532,14.7338705,2027.0384346510725
2018-09-10,construction_tools_safety,153.65541666666667,6.68956,1027.887119363149
2018-09-10,cool_stuff,136.41866979949873,21.057741,2872.6690387334284
2018-09-10,costruction_tools_garden,110.5209375,2.0224144,223.51914057187736
2018-09-10,costruction_tools_tools,117.264375,3.082973,361.52290238410234
2018-09-10,diapers_and_hygiene,69.7225,1.0515817,73.31890789359808
2018-09-10,drinks,48.846493055555555,2.730822,133.39108207608263
2018-09-10,dvds_blu_ray,47.25875,1.3061496,61.72699750050902
2018-09-10,electronics,95.01823675775978,24.268604,2305.9599871210194
2018-09-10,fashio_female_clothing,36.865,2.229451,82.18870894312859
2018-09-10,fashion_bags_accessories,64.89250315656565,23.101376,1499.1060877353855
2018-09-10,fashion_childrens_clothes,52.489999999999995,1.04842,55.03156330108642
2018-09-10,fashion_male_clothing,106.91,1.3073655,139.77044952750205
2018-09-10,fashion_shoes,173.0,1.4485831,250.60488080978394
2018-09-10,fashion_sport,77.4,1.0681938,82.6781996011734
2018-09-10,fashion_underwear_beach,69.9125,1.9583273,136.91155689954758
2018-09-10,fixed_telephony,265.33458333333334,1.185967,314.678051443696
2018-09-10,flowers,44.08625,1.8290422,80.63561152547598
2018-09-10,food,69.17852859177859,16.232805,1122.9615822554574
2018-09-10,food_drink,43.81729166666667,6.1759415,270.613028588295
2018-09-10,furniture_bedroom,167.35,2.3263745,389.31877772808076
2018-09-10,furniture_decor,93.39075398844987,64.33507,6008.300484979303
2018-09-10,furniture_living_room,123.72369218200102,6.55349,810.821999508162
2018-09-10,furniture_mattress_and_upholstery,114.975,1.0305988,118.49309239089489
2018-09-10,garden_tools,112.40679900553376,24.620625,2767.5255943098705
2018-09-10,health_beauty,143.91942701772177,123.37842,17756.551220415487
2018-09-10,home_appliances,87.52751657572024,11.435786,1000.9459703128671
2018-09-10,home_appliances_2,530.6721666666667,6.2964296,3341.339956188997
2018-09-10,home_comfort_2,12.9,1.3169916,16.989191222190858
2018-09-10,home_confort,123.2236875,5.213853,642.4701782500148
2018-09-10,home_construction,179.10909161490684,6.9535456,1245.4432306124631
2018-09-10,housewares,100.0056035068071,108.27592,10828.198430160519
2018-09-10,industry_commerce_and_business,262.48,4.6150713,1211.3639139556885
2018-09-10,kitchen_dining_laundry_garden_furniture,136.19035714285715,1.4197116,193.35102845651764
2018-09-10,la_cuisine,194.5,1.7263442,335.7739523053169
2018-09-10,luggage_accessories,104.1867865497076,12.023273,1252.6662264411102
2018-09-10,market_place,121.46208333333333,2.0859666,253.3658474288384
2018-09-10,music,75.41333333333333,2.0300307,153.09138392130532
2018-09-10,musical_instruments,244.7041319444444,5.715041,1398.4941862273545
2018-09-10,office_furniture,223.57650375939852,8.655591,1935.1867762212469
2018-09-10,party_supplies,90.47708333333333,1.0029259,90.74180777072905
2018-09-10,perfumery,111.89363508205791,53.017437,5932.313746560526
2018-09-10,pet_shop,126.49666878128477,28.952036,3662.3360962833817
2018-09-10,security_and_services,141.64499999999998,1.0985985,155.61098173141477
2018-09-10,signaling_and_security,85.32225,3.7281957,318.0980427714586
2018-09-10,small_appliances,266.9498125,5.2522526,1402.0878410960436
2018-09-10,small_appliances_home_oven_and_coffee,222.05276785714284,4.0326524,895.4616223588586
2018-09-10,sports_leisure,106.1013118608872,71.141426,7548.198635424117
2018-09-10,stationery,89.98196478683735,28.640244,2577.1053848275105
2018-09-10,tablets_printing_image,63.7,0.95334834,60.72828916907311
2018-09-10,telephony,129.78883224791105,42.869957,5564.04165368238
2018-09-10,toys,103.82085962301588,35.285656,3663.3871357219923
2018-09-10,unknown,123.71496428571427,4.909212,607.3430011598723
2018-09-10,watches_gifts,168.48735467296967,62.28813,10494.76253999099
2018-09-17,agro_industry_and_commerce,190.3938888888889,5.215048,992.9132382954492
2018-09-17,air_conditioning,187.45958333333334,5.417961,1015.648734184901
2018-09-17,art,90.10166666666666,1.1974384,107.89119189997513
2018-09-17,arts_and_craftmanship,79.02419642857143,4.2463326,335.56302507242987
2018-09-17,audio,98.51708333333332,9.315115,917.6979582492509
2018-09-17,auto,120.09665233501842,58.623817,7040.52422210536
2018-09-17,baby,97.91565425459956,39.76065,3893.1901204916353
