order_week,product_category_name_english,avg_price,units_base,revenue_base,units_cal,revenue_cal,scenario
10-09-2018,office_furniture,190.0400282,14.388698,2734.428502,14.388698,2734.428502,-0.15
10-09-2018,party_supplies,76.90552083,2.5964854,199.6840602,2.5964854,199.6840602,-0.15
10-09-2018,perfumery,95.10958982,40.08579,3812.542923,40.08579,3812.542923,-0.15
10-09-2018,pet_shop,107.5221685,34.792606,3740.976482,34.792606,3740.976482,-0.15
10-09-2018,security_and_services,120.39825,0.47245967,56.88331793,0.47245967,56.88331793,-0.15
10-09-2018,signaling_and_security,72.5239125,6.30392,457.1849274,6.30392,457.1849274,-0.15
10-09-2018,small_appliances,226.9073406,10.038754,2277.867078,10.038754,2277.867078,-0.15
10-09-2018,small_appliances_home_oven_and_coffee,188.7448527,2.9296608,552.9583956,2.9296608,552.9583956,-0.15
10-09-2018,sports_leisure,90.18611508,74.57364,6725.506781,74.57364,6725.506781,-0.15
10-09-2018,stationery,76.48467007,32.58535,2492.279747,32.58535,2492.279747,-0.15
10-09-2018,tablets_printing_image,54.145,1.1125679,60.23998903,1.1125679,60.23998903,-0.15
10-09-2018,telephony,110.3205074,48.977497,5403.222332,48.977497,5403.222332,-0.15
10-09-2018,toys,88.24773068,33.943897,2995.471902,33.943897,2995.471902,-0.15
10-09-2018,unknown,105.1577196,8.520622,896.0092061,8.520622,896.0092061,-0.15
10-09-2018,watches_gifts,143.2142515,77.534996,11104.11642,77.534996,11104.11642,-0.15
17-09-2018,agro_industry_and_commerce,161.8348056,2.3561833,381.3124647,2.3561833,381.3124647,-0.15
17-09-2018,air_conditioning,159.3406458,5.113363,814.7665292,5.113363,814.7665292,-0.15
17-09-2018,art,76.58641667,1.3083341,100.2006215,1.3083341,100.2006215,-0.15
17-09-2018,arts_and_craftmanship,67.17056696,2.7221558,182.8487491,2.7221558,182.8487491,-0.15
17-09-2018,audio,83.73952083,9.135773,765.0252288,9.135773,765.0252288,-0.15
17-09-2018,auto,102.0821545,64.40841,6574.94917,64.40841,6574.94917,-0.15
17-09-2018,baby,83.22830612,36.72006,3056.148265,36.72006,3056.148265,-0.15
17-09-2018,bed_bath_table,78.78672239,109.631485,8637.505373,109.631485,8637.505373,-0.15
17-09-2018,books_general_interest,38.33530782,8.568747,328.4855372,8.568747,328.4855372,-0.15
17-09-2018,books_imported,184.664625,1.3049023,240.9692967,1.3049023,240.9692967,-0.15
17-09-2018,books_technical,42.12684517,8.34796,351.6732383,8.34796,351.6732383,-0.15
17-09-2018,cds_dvds_musicals,55.25,0.6411516,35.42362629,0.6411516,35.42362629,-0.15
17-09-2018,christmas_supplies,54.3887375,3.2925777,179.0791466,3.2925777,179.0791466,-0.15
17-09-2018,cine_photo,49.83851042,2.0629272,102.813221,2.0629272,102.813221,-0.15
17-09-2018,computers,715.540625,2.7283535,1952.247769,2.7283535,1952.247769,-0.15
17-09-2018,computers_accessories,78.78928326,71.89965,5664.921935,71.89965,5664.921935,-0.15
17-09-2018,consoles_games,87.03150759,13.952488,1214.306061,13.952488,1214.306061,-0.15
17-09-2018,construction_tools_construction,119.1054115,37.553272,4472.797946,37.553272,4472.797946,-0.15
17-09-2018,construction_tools_lights,116.9402615,11.801739,1380.098414,11.801739,1380.098414,-0.15
17-09-2018,construction_tools_safety,130.6071042,7.10615,928.1136929,7.10615,928.1136929,-0.15
17-09-2018,cool_stuff,115.9558693,22.934656,2659.407991,22.934656,2659.407991,-0.15
17-09-2018,costruction_tools_garden,93.94279688,1.5033119,141.2253219,1.5033119,141.2253219,-0.15
17-09-2018,costruction_tools_tools,99.67471875,3.3285427,331.7715584,3.3285427,331.7715584,-0.15
17-09-2018,diapers_and_hygiene,59.264125,0.8824831,52.29959021,0.8824831,52.29959021,-0.15
17-09-2018,drinks,41.5195191,7.269647,301.8322525,7.269647,301.8322525,-0.15
17-09-2018,dvds_blu_ray,40.1699375,1.4811391,59.49726362,1.4811391,59.49726362,-0.15
17-09-2018,electronics,80.76550124,28.86338,2331.165388,28.86338,2331.165388,-0.15
17-09-2018,fashio_female_clothing,31.33525,1.603808,50.25572605,1.603808,50.25572605,-0.15
17-09-2018,fashion_bags_accessories,55.15862768,28.729012,1584.652851,28.729012,1584.652851,-0.15
17-09-2018,fashion_childrens_clothes,44.6165,0.71365297,31.84069766,0.71365297,31.84069766,-0.15
17-09-2018,fashion_male_clothing,90.8735,1.3889228,126.216277,1.3889228,126.216277,-0.15
17-09-2018,fashion_shoes,147.05,2.0649457,303.6502649,2.0649457,303.6502649,-0.15
17-09-2018,fashion_sport,65.79,0.88039714,57.92132791,0.88039714,57.92132791,-0.15
17-09-2018,fashion_underwear_beach,59.425625,1.0840937,64.42294508,1.0840937,64.42294508,-0.15
17-09-2018,fixed_telephony,225.5343958,5.759187,1298.89481,5.759187,1298.89481,-0.15
17-09-2018,flowers,37.4733125,1.4503345,54.34883978,1.4503345,54.34883978,-0.15
17-09-2018,food,58.8017493,19.328491,1136.549095,19.328491,1136.549095,-0.15
17-09-2018,food_drink,37.24469792,3.6375134,135.4780877,3.6375134,135.4780877,-0.15
17-09-2018,furniture_bedroom,142.2475,4.406442,626.8053819,4.406442,626.8053819,-0.15
17-09-2018,furniture_decor,79.38214089,74.558075,5918.57961,74.558075,5918.57961,-0.15
17-09-2018,furniture_living_room,105.1651384,8.263969,869.0814876,8.263969,869.0814876,-0.15
17-09-2018,furniture_mattress_and_upholstery,97.72875,1.0119041,98.89212481,1.0119041,98.89212481,-0.15
17-09-2018,garden_tools,95.54577915,33.431458,3194.234657,33.431458,3194.234657,-0.15
17-09-2018,health_beauty,122.331513,108.4895,13271.68491,108.4895,13271.68491,-0.15
17-09-2018,home_appliances,74.39838909,19.114662,1422.100073,19.114662,1422.100073,-0.15
17-09-2018,home_appliances_2,451.0713417,4.6978555,2119.067971,4.6978555,2119.067971,-0.15
17-09-2018,home_comfort_2,10.965,2.0583105,22.56937473,2.0583105,22.56937473,-0.15
17-09-2018,home_confort,104.7401344,6.4913354,679.9033412,6.4913354,679.9033412,-0.15
17-09-2018,home_construction,152.2427279,8.079455,1230.038326,8.079455,1230.038326,-0.15
