order_week,product_category_name_english,avg_price,planned_price,price_for_revenue,units_base,units_cal,revenue_base_price,revenue_cal_price
2018-09-10,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,4.6435666,4.6435666,884.1067032885557,884.1067032885557
2018-09-17,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,2.1783803,2.1783803,414.7502967959445,414.7502967959445
2018-09-24,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,5.559115,5.559115,1058.4215236305556,1058.4215236305556
2018-10-01,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,6.065044,6.065044,1154.7473134422223,1154.7473134422223
2018-10-08,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,4.022001,4.022001,765.7644115050001,765.7644115050001
2018-10-15,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,6.1410413,6.1410413,1169.216734934278,1169.216734934278
2018-10-22,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,6.4449353,6.4449353,1227.076295404278,1227.076295404278
2018-10-29,agro_industry_and_commerce,190.3938888888889,190.3938888888889,190.3938888888889,5.8794127,5.8794127,1119.4042483357223,1119.4042483357223
2018-09-10,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,4.060851,4.060851,761.24543643875,761.24543643875
2018-09-17,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,4.1824055,4.1824055,784.0319923610415,784.0319923610415
2018-09-24,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,3.8991337,3.8991337,730.9299787629583,730.9299787629583
2018-10-01,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,3.4179597,3.4179597,640.7293012121249,640.7293012121249
2018-10-08,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,4.322938,4.322938,810.3761562558332,810.3761562558332
2018-10-15,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,4.2369847,4.2369847,794.2633864517082,794.2633864517082
2018-10-22,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,4.094578,4.094578,767.5678858058333,767.5678858058333
2018-10-29,air_conditioning,187.4595833333333,187.4595833333333,187.4595833333333,3.2387145,3.2387145,607.128070705625,607.128070705625
2018-09-10,art,90.10166666666666,90.10166666666666,90.10166666666666,0.8411718,0.8411718,75.790981133,75.790981133
2018-09-17,art,90.10166666666666,90.10166666666666,90.10166666666666,1.2425166,1.2425166,111.952816521,111.952816521
2018-09-24,art,90.10166666666666,90.10166666666666,90.10166666666666,0.79011154,0.79011154,71.19036660656666,71.19036660656666
2018-10-01,art,90.10166666666666,90.10166666666666,90.10166666666666,0.78080225,0.78080225,70.35158406208333,70.35158406208333
2018-10-08,art,90.10166666666666,90.10166666666666,90.10166666666666,0.48767152,0.48767152,43.940016737866664,43.940016737866664
2018-10-15,art,90.10166666666666,90.10166666666666,90.10166666666666,1.0908862,1.0908862,98.29066476366665,98.29066476366665
2018-10-22,art,90.10166666666666,90.10166666666666,90.10166666666666,0.5491591,0.5491591,49.48015017516666,49.48015017516666
2018-10-29,art,90.10166666666666,90.10166666666666,90.10166666666666,0.46947077,0.46947077,42.300098828283325,42.300098828283325
2018-09-10,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,2.3073778,2.3073778,182.338676502125,182.338676502125
2018-09-17,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,2.882398,2.882398,227.77918573732143,227.77918573732143
2018-09-24,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,3.2807877,3.2807877,259.2616116452411,259.2616116452411
2018-10-01,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,3.3794618,3.3794618,267.0592531060536,267.0592531060536
2018-10-08,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,3.1352177,3.1352177,247.75805937113392,247.75805937113392
2018-10-15,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,2.9811454,2.9811454,235.58261967173215,235.58261967173215
2018-10-22,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,2.6296675,2.6296675,207.80736106183036,207.80736106183036
2018-10-29,arts_and_craftmanship,79.02419642857143,79.02419642857143,79.02419642857143,3.2021704,3.2021704,253.04894268735714,253.04894268735714
2018-09-10,audio,98.51708333333332,71.62333333333332,71.62333333333332,7.8940816,7.8940816,565.4004377973332,565.4004377973332
2018-09-17,audio,98.51708333333332,71.62333333333332,71.62333333333332,7.9831114,7.9831114,571.7770488393332,571.7770488393332
2018-09-24,audio,98.51708333333332,71.62333333333332,71.62333333333332,7.8823447,7.8823447,564.5598018963333,564.5598018963333
2018-10-01,audio,98.51708333333332,71.62333333333332,71.62333333333332,7.752148,7.752148,555.2346802533332,555.2346802533332
2018-10-08,audio,98.51708333333332,71.62333333333332,71.62333333333332,8.140183,8.140183,583.0270404033332,583.0270404033332
2018-10-15,audio,98.51708333333332,71.62333333333332,71.62333333333332,7.181422,7.181422,514.3573817133333,514.3573817133333
2018-10-22,audio,98.51708333333332,71.62333333333332,71.62333333333332,8.13875,8.13875,582.9244041666666,582.9244041666666
2018-10-29,audio,98.51708333333332,71.62333333333332,71.62333333333332,7.591796,7.591796,543.7497355066666,543.7497355066666
2018-09-10,auto,120.09665233501842,113.60927859764467,113.60927859764467,70.621895,70.621895,8023.302544148609,8023.302544148609
2018-09-17,auto,120.09665233501842,113.60927859764467,113.60927859764467,62.455097,62.455097,7095.4785149159225,7095.4785149159225
2018-09-24,auto,120.09665233501842,113.60927859764467,113.60927859764467,51.030334,51.030334,5797.51943233686,5797.51943233686
2018-10-01,auto,120.09665233501842,113.60927859764467,113.60927859764467,57.141945,57.141945,6491.855149116289,6491.855149116289
2018-10-08,auto,120.09665233501842,113.60927859764467,113.60927859764467,50.803005,50.803005,5771.692748642536,5771.692748642536
2018-10-15,auto,120.09665233501842,113.60927859764467,113.60927859764467,44.64198,44.64198,5071.743142970481,5071.743142970481
2018-10-22,auto,120.09665233501842,113.60927859764467,113.60927859764467,48.74927,48.74927,5538.369396861802,5538.369396861802
2018-10-29,auto,120.09665233501842,113.60927859764467,113.60927859764467,46.208878,46.208878,5249.757294386573,5249.757294386573
2018-09-10,baby,97.91565425459956,99.84017806412338,99.84017806412338,42.17099,42.17099,4210.359150740367,4210.359150740367
2018-09-17,baby,97.91565425459956,99.84017806412338,99.84017806412338,35.36875,35.36875,3531.2222979054636,3531.2222979054636
2018-09-24,baby,97.91565425459956,99.84017806412338,99.84017806412338,27.425243,27.425243,2738.141144571853,2738.141144571853
2018-10-01,baby,97.91565425459956,99.84017806412338,99.84017806412338,30.12495,30.12495,3007.6803721728133,3007.6803721728133
2018-10-08,baby,97.91565425459956,99.84017806412338,99.84017806412338,27.228846,27.228846,2718.5328331205938,2718.5328331205938
2018-10-15,baby,97.91565425459956,99.84017806412338,99.84017806412338,25.038784,25.038784,2499.876653069123,2499.876653069123
2018-10-22,baby,97.91565425459956,99.84017806412338,99.84017806412338,24.481062,24.481062,2444.1935892788447,2444.1935892788447
2018-10-29,baby,97.91565425459956,99.84017806412338,99.84017806412338,24.629513,24.629513,2459.0149635526413,2459.0149635526413
2018-09-10,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,95.272705,95.272705,9402.58528673754,9402.58528673754
2018-09-17,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,91.99988,91.99988,9079.585995481279,9079.585995481279
2018-09-24,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,72.42773,72.42773,7147.985442942961,7147.985442942961
2018-10-01,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,74.76215,74.76215,7378.372342790782,7378.372342790782
2018-10-08,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,69.21851,69.21851,6831.263410605327,6831.263410605327
2018-10-15,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,60.92573,60.92573,6012.838330576884,6012.838330576884
2018-10-22,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,54.691563,54.691563,5397.580404298159,5397.580404298159
2018-10-29,bed_bath_table,92.69026163363507,98.69128085255414,98.69128085255414,59.19952,59.19952,5842.476454656396,5842.476454656396
2018-09-10,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,10.823036,10.823036,402.9799866438462,402.9799866438462
2018-09-17,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,9.238008,9.238008,343.96377693428576,343.96377693428576
2018-09-24,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,9.693829,9.693829,360.9356081738736,360.9356081738736
2018-10-01,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,9.102921,9.102921,338.93400918189565,338.93400918189565
2018-10-08,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,9.180376,9.180376,341.81793332901105,341.81793332901105
2018-10-15,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,9.16307,9.16307,341.1735696173077,341.1735696173077
2018-10-22,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,10.725776,10.725776,399.35865215868137,399.35865215868137
2018-10-29,books_general_interest,45.10036213786215,37.23354395604396,37.23354395604396,10.366618,10.366618,385.98592697851655,385.98592697851655
2018-09-10,books_imported,217.2525,217.2525,217.2525,0.6800712,0.6800712,147.747168378,147.747168378
