order_week,product_category_name_english,cat_key,base_price,applied_pct,planned_price
2018-09-24,health_beauty,health_beauty,128.99002586709415,0.1,141.88902845380358
2018-09-24,home_appliances,home_appliances,87.52751657572024,0.0,87.52751657572024
2018-09-24,home_appliances_2,home_appliances_2,524.9155000000001,0.0,524.9155000000001
2018-09-24,home_comfort_2,home_comfort_2,12.9,-0.05,12.254999999999999
2018-09-24,home_confort,home_confort,158.583375,0.0,158.583375
2018-09-24,home_construction,home_construction,179.10909161490684,0.0,179.10909161490684
2018-09-24,housewares,housewares,87.71028803061662,0.0,87.71028803061662
2018-09-24,industry_commerce_and_business,industry_commerce_and_business,262.48,0.05,275.60400000000004
2018-09-24,kitchen_dining_laundry_garden_furniture,kitchen_dining_laundry_garden_furniture,136.19035714285715,0.0,136.19035714285715
2018-09-24,la_cuisine,la_cuisine,194.5,0.0,194.5
2018-09-24,luggage_accessories,luggage_accessories,82.55378654970761,0.0,82.55378654970761
2018-09-24,market_place,market_place,121.46208333333333,0.0,121.46208333333333
2018-09-24,music,music,75.41333333333333,0.0,75.41333333333333
2018-09-24,musical_instruments,musical_instruments,244.7041319444444,0.0,244.7041319444444
2018-09-24,office_furniture,office_furniture,321.97749999999996,0.0,321.97749999999996
2018-09-24,party_supplies,party_supplies,90.47708333333333,0.0,90.47708333333333
2018-09-24,perfumery,perfumery,106.00153508205791,0.0,106.00153508205791
2018-09-24,pet_shop,pet_shop,126.49666878128477,0.0,126.49666878128477
2018-09-24,security_and_services,security_and_services,141.64499999999998,0.0,141.64499999999998
2018-09-24,signaling_and_security,signaling_and_security,85.32225,0.0,85.32225
2018-09-24,small_appliances,small_appliances,266.9498125,0.0,266.9498125
2018-09-24,small_appliances_home_oven_and_coffee,small_appliances_home_oven_and_coffee,222.05276785714284,0.0,222.05276785714284
2018-09-24,sports_leisure,sports_leisure,98.02094446223855,0.1,107.82303890846241
2018-09-24,stationery,stationery,81.6785589897359,0.0,81.6785589897359
2018-09-24,tablets_printing_image,tablets_printing_image,63.7,0.0,63.7
2018-09-24,telephony,telephony,100.59024313900015,0.0,100.59024313900015
2018-09-24,toys,toys,95.6297048611111,0.0,95.6297048611111
2018-09-24,unknown,unknown,156.12571428571428,0.0,156.12571428571428
2018-09-24,watches_gifts,watches_gifts,152.6711204957545,0.0,152.6711204957545
2018-10-01,agro_industry_and_commerce,agro_industry_and_commerce,190.3938888888889,0.0,190.3938888888889
2018-10-01,air_conditioning,air_conditioning,187.45958333333334,0.0,187.45958333333334
2018-10-01,art,art,90.10166666666666,0.0,90.10166666666666
2018-10-01,arts_and_craftmanship,arts_and_craftmanship,79.02419642857143,0.0,79.02419642857143
2018-10-01,audio,audio,71.62333333333332,0.0,71.62333333333332
2018-10-01,auto,auto,113.60927859764467,0.0,113.60927859764467
2018-10-01,baby,baby,99.84017806412338,0.0,99.84017806412338
2018-10-01,bed_bath_table,bed_bath_table,89.71934622959466,0.1,98.69128085255414
2018-10-01,books_general_interest,books_general_interest,37.23354395604396,0.0,37.23354395604396
2018-10-01,books_imported,books_imported,217.2525,0.0,217.2525
2018-10-01,books_technical,books_technical,49.56099431818183,0.0,49.56099431818183
2018-10-01,cds_dvds_musicals,cds_dvds_musicals,65.0,0.0,65.0
2018-10-01,christmas_supplies,christmas_supplies,63.98675,0.0,63.98675
